"Food ID","Name","Optional Name","Description","Scientific Name","Derivation","Nitrogen Factor","Fat Factor","Specific Gravity","Sampling details","Inedible Portion","Edible Portion","Group","Sub Group","Sort Order"
"14B10076","Acetylated Distarch Adipate, Food Additive (1422)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on literature and industry information.","Nil","100%","Additives and Cooking Ingredients","","1"
"14B10095","Allura Red, Food Colour (FD&C Red 40) (129)","","Nutrient values based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C18H14N2O8S2Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","2"
"14B10063","Baking Soda (Bicarbonate), Dry Powder","","Fine white powder used to chemically leaven baked goods such as cakes.","Sodium bicarbonate","NNS 1995","6.25","1.000","0.000","Sodium content estimated from molecular formula and remaining values imputed.","Nil","100%","Additives and Cooking Ingredients","","3"
"14B10080","Brilliant Blue FCF, Food Colour (FD&C Blue 1) (133)","","Nutrient values are based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C37H34N2O9S3Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","4"
"14B10088","Calcium Disodium EDTA, Food Additive (385)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","C10H12CaN2Na2O8.2H2O","Calculated","6.25","0.000","0.000","Values are calculated based on the molecular formula.","Nil","100%","Additives and Cooking Ingredients","","5"
"14B10089","Carrageenan, Food Additive (407)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","0.000","0.000","Values are imputed based on industry values.","","100%","Additives and Cooking Ingredients","","6"
"14B10085","Citric Acid, Food Additive (330)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","C6H8O7","Calculated","6.25","1.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","7"
"14B10074","Dextrin Roasted Starch, Food Additive (1400)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula or on information provided by industry.","","100%","Additives and Cooking Ingredients","","8"
"14B10073","Disodium 5TM - Ribonucleotides, Food Additive (635)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","9"
"14B10075","Distarch Phosphate, Food Additive (1412)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations. This substance also contains phosphorus but no information was available on which to estimate phosphorus content.","","Calculated","6.25","0.000","0.000","Values are calculated based on literature and industry information.","","100%","Additives and Cooking Ingredients","","10"
"14B10093","Erythrosine, Food Colour (FD&C Red 3) (127)","E127","Nutrient values based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C20H6O5I4Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","11"
"14B10081","Fast Green FCF, Food Colour (FD&C Green 3) (143)","","Nutrient values are based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C37H34N2O10S3Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","Nil","100%","Additives and Cooking Ingredients","","12"
"10F60055","Gelatine, Powder, Unflavoured","Gelatine powder","Unflavoured light yellow granular proteinaceous powder. Used to sweeten and thicken soups, sauces and desserts.","","Analysed","5.55","0.800","0.000","Majority of nutrients (proximates, minerals and vitamins) are derived from a composite sample of six purchases of Davis gelatine purchased in Adelaide in 1990 (AGAL 1990). Amino acid values are derived from a separate analysis of a different composite sample of six purchases of Davis gelatine purchased in Adelaide in 1990 (AGAL 1991). Vitamin C, starch and retinol values were imputed based on international literature.","nil","100%","Additives and Cooking Ingredients","","13"
"14B10090","Gum, Guar, Food Additive (412)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","0.000","0.000","Values are imputed based on industry values.","","100%","Additives and Cooking Ingredients","","14"
"14B10091","Gum, Xanthan, Food Additive (415)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","0.000","0.000","Values are imputed based on industry values.","","100%","Additives and Cooking Ingredients","","15"
"14B10079","Indigotine, Food Colour (FD&C Blue 2) (132)","","Nutrient values are based on the molecular formula of the pure substance and do not take into account the possible addition of carrying or bulking materials in commercial formulations.","C16H18N2O8S2Na2","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","100%","Additives and Cooking Ingredients","","16"
"14B10086","Lecithin, Soy, From Soy Oil, Food Additive (322)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","0.000","0.000","Values are imputed based on scientific literature and industry values.","","100%","Additives and Cooking Ingredients","","17"
"14B10087","Lecithin, Soy, Powder, Food Additive (322)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Imputed","6.25","0.000","0.000","Values are imputed based on scientific literature and industry values.","","100%","Additives and Cooking Ingredients","","18"
"14B10072","Monosodium L-Glutamate, Food Additive (621)","","Nutrient data for this food additive refer to the pure additive. Nutrient data may differ in commercial preparations.","","Calculated","6.25","0.000","0.000","Values are calculated based on molecular formula.","","","Additives and Cooking Ingredients","","19"
